Organism.Name	Strain	species	genus	family	order	class	phylum	superkingdom
Francisella tularensis subsp. tularensis NE061598		Francisella tularensis	Francisella	Francisellaceae	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria
Francisella tularensis subsp. tularensis SCHU S4	Schu S4	Francisella tularensis	Francisella	Francisellaceae	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria
Francisella tularensis TI0902	TI0902	Francisella tularensis	Francisella	Francisellaceae	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria
Francisella tularensis TIGB03	TIGB03	Francisella tularensis	Francisella	Francisellaceae	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria
Francisella tularensis subsp. tularensis WY96-3418	WY96-3418	Francisella tularensis	Francisella	Francisellaceae	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria
Frankia alni ACN14a	ACN14a	Frankia alni	Frankia	Frankiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Frankia sp. BCU110501	BCU110501	Frankia sp. BCU110501	Frankia	Frankiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Frankia sp. BMG5.12	BMG5.12	Frankia sp. BMG5.12	Frankia	Frankiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Frankia sp. CN3	CN3	Frankia sp. CN3	Frankia	Frankiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Frankia sp. CcI3	CcI3	Frankia sp. CcI3	Frankia	Frankiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Frankia sp. CcI6	CcI6	Frankia sp. CcI6	Frankia	Frankiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Frankia sp. EAN1pec	EAN1pec	Frankia sp. EAN1pec	Frankia	Frankiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Frankia sp. EUN1f	EUN1f	Frankia sp. EUN1f	Frankia	Frankiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Frankia sp. EuI1c	EuI1c	Frankia sp. EuI1c	Frankia	Frankiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Frankia sp. Iso899	Iso899	Frankia sp. Iso899	Frankia	Frankiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Frankia sp. QA3	QA3	Frankia sp. QA3	Frankia	Frankiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Frankia symbiont of Datisca glomerata	4085684	Frankia symbiont of Datisca glomerata	Frankia	Frankiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Frateuria aurantia DSM 6220	DSM 6220	Frateuria aurantia	Frateuria	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Fructobacillus fructosus KCTC 3544	KCTC 3544	Fructobacillus fructosus	Fructobacillus	Leuconostocaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Fulvimarina pelagi HTCC2506	HTCC2506	Fulvimarina pelagi	Fulvimarina	Aurantimonadaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Fulvivirga imtechensis AK7	AK7	Fulvivirga imtechensis	Fulvivirga	Flammeovirgaceae	Cytophagales	Cytophagia	Bacteroidetes	Bacteria
Fusobacterium sp. 3_1_5R	3_1_5R	Fusobacterium gonidiaformans	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria
Fusobacterium gonidiaformans ATCC 25563	ATCC 25563	Fusobacterium gonidiaformans	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria
Fusobacterium mortiferum ATCC 9817	ATCC 9817	Fusobacterium mortiferum	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria
Fusobacterium sp. D12	D12	Fusobacterium necrophorum	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria
Fusobacterium necrophorum subsp. funduliforme 1_1_36S	1_1_36S	Fusobacterium necrophorum	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria
Fusobacterium necrophorum subsp. funduliforme ATCC 51357	ATCC 51357	Fusobacterium necrophorum	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria
Fusobacterium necrophorum subsp. funduliforme Fnf 1007	Fnf 1007	Fusobacterium necrophorum	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria
Fusobacterium nucleatum CTI-5	CTI-5	Fusobacterium nucleatum	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria
Fusobacterium nucleatum CTI-6	CTI-6	Fusobacterium nucleatum	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria
Fusobacterium nucleatum CTI-7	CTI-7	Fusobacterium nucleatum	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria
Escherichia coli KTE137	KTE137	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	Bacteria
Escherichia coli KTE138	KTE138	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	Bacteria
Escherichia coli KTE139	KTE139	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	Bacteria
Escherichia coli KTE14	KTE14	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	Bacteria
Escherichia coli KTE140	KTE140	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	Bacteria
Escherichia coli KTE141	KTE141	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	Bacteria
Escherichia coli KTE143	KTE143	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	Bacteria
Escherichia coli KTE144	KTE144	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	Bacteria
Escherichia coli KTE145	KTE145	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	Bacteria
Escherichia coli KTE146	KTE146	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	Bacteria
Escherichia coli KTE147	KTE147	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	Bacteria
Escherichia coli KTE148	KTE148	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	Bacteria
Escherichia coli KTE15	KTE15	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	Bacteria
Escherichia coli KTE150	KTE150	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	Bacteria
Escherichia coli KTE153	KTE153	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	Bacteria
Escherichia coli KTE154	KTE154	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	Bacteria
