Organism.Name	Strain	species	genus	family	order	class	phylum	superkingdom
Streptococcus pneumoniae GA47901	GA47901	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae GA47976	GA47976	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae GA49138	GA49138	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae GA49194	GA49194	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae GA49447	GA49447	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae GA49542	GA49542	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae GA52306	GA52306	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae GA52612	GA52612	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae GA54354	GA54354	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae GA54644	GA54644	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae GA56113	GA56113	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae GA56348	GA56348	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae GA58581	GA58581	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae GA58771	GA58771	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae GA58981	GA58981	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae GA60080	GA60080	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae GA60132	GA60132	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae GA60190	GA60190	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae GA62331	GA62331	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae GA62681	GA62681	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae Hungary19A-6	Hungary19A-6	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae ICE44	ICE44	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae ICE59	ICE59	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae INV104	INV104	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae INV104B		Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae INV200	INV200	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae JJA	JJA	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae MLV-016	MLV-016	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae MNZ11b	MNZ11b	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae MNZ14	MNZ14	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae MNZ37	MNZ37	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae MNZ41	MNZ41	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae MNZ85	MNZ85	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae ND6012	ND6012	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae NP070	NP070	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae NP112	NP112	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae NP127	NP127	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae NP141	NP141	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae NP170	NP170	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae Netherlands15B-37	Netherlands15B-37	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae NorthCarolina6A-23	NorthCarolina6A-23	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae OXC141	OXC141	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae P1031	P1031	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae PCS125219	PCS125219	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae PCS70012	PCS70012	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae PCS8106	PCS8106	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae PCS81218	PCS81218	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae PCS8203	PCS8203	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae PCS8235	PCS8235	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae PNI0002	PNI0002	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae PNI0006	PNI0006	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae PNI0007	PNI0007	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae PNI0008	PNI0008	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae PNI0009	PNI0009	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae PNI0010	PNI0010	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae PNI0076	PNI0076	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae PNI0153	PNI0153	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae PNI0159	PNI0159	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae PNI0164	PNI0164	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae PNI0197	PNI0197	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae PNI0199	PNI0199	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae PNI0212	PNI0212	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae PNI0360	PNI0360	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae PNI0427	PNI0427	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae PNI0446	PNI0446	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae PT8114	PT8114	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae R6	R6	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae R6M2-PG	R6M2-PG	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae SP-BS293	SP-BS293	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae SP11-BS70	SP11-BS70	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae SP14-BS292	SP14-BS292	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae SP14-BS69	SP14-BS69	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae SP18-BS74	SP18-BS74	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae SP19-BS75	SP19-BS75	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae SP195	SP195	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae SP23-BS72	SP23-BS72	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae SP3-BS71	SP3-BS71	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae SP6-BS73	SP6-BS73	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae SP9-BS68	SP9-BS68	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae SPAR27	SPAR27	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae SPAR48	SPAR48	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae SPAR55	SPAR55	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae SPAR95	SPAR95	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae SPN021198	SPN021198	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae SPN032672	SPN032672	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae SPN033038	SPN033038	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae SPN034156	SPN034156	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae SPN034183	SPN034183	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae SPN061370	SPN061370	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae SPN072838	SPN072838	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae SPN1041	SPN1041	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae SPN7465	SPN7465	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae SPN994038	SPN994038	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae SPN994039	SPN994039	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae SPNA45	SPNA45	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae ST556	ST556	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae SV35	SV35	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae SV36	SV36	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae Sp647	Sp647	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae Spain6B	Spain6B	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae Spain9V	Spain9V	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae TCH8431/19A	TCH8431/19A	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae TIGR4	TIGR4	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae TIGR4		Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae Taiwan19F-14	Taiwan19F-14	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae WL400	WL400	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae WL677	WL677	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae gamPNI0373	gamPNI0373	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae str. Canada MDR_19A	Canada MDR_19A	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pneumoniae str. Canada MDR_19F	Canada MDR_19F	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus porci DSM 23759	DSM 23759	Streptococcus porci	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus porcinus str. Jelinkova 176	Jelinkova 176	Streptococcus porcinus	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pseudopneumoniae 1321	1321	Streptococcus pseudopneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pseudopneumoniae 22725	22725	Streptococcus pseudopneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pseudopneumoniae 5247	5247	Streptococcus pseudopneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pseudopneumoniae ATCC BAA-960	ATCC BAA-960	Streptococcus pseudopneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pseudopneumoniae G42	G42	Streptococcus pseudopneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pseudopneumoniae IS7493	IS7493	Streptococcus pseudopneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pseudopneumoniae SK674	SK674	Streptococcus pseudopneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pseudoporcinus LQ 940-04	LQ940-04	Streptococcus pseudoporcinus	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pseudoporcinus SPIN 20026	SPIN 20026	Streptococcus pseudoporcinus	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pyogenes 06BA18369		Streptococcus pyogenes	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pyogenes A20	A20	Streptococcus pyogenes	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pyogenes ATCC 10782	ATCC 10782	Streptococcus pyogenes	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pyogenes Alab49	Alab49	Streptococcus pyogenes	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pyogenes BJCYGAS15	BJCYGAS15	Streptococcus pyogenes	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pyogenes DSM 20565	DSM 20565	Streptococcus pyogenes	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pyogenes GA03455	GA03455	Streptococcus pyogenes	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pyogenes GA03747	GA03747	Streptococcus pyogenes	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pyogenes GA03799	GA03799	Streptococcus pyogenes	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pyogenes GA03805	GA03805	Streptococcus pyogenes	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pyogenes GA06023	GA06023	Streptococcus pyogenes	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pyogenes GA16797	GA16797	Streptococcus pyogenes	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pyogenes GA19681	GA19681	Streptococcus pyogenes	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pyogenes GA19700	GA19700	Streptococcus pyogenes	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pyogenes GA19702	GA19702	Streptococcus pyogenes	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pyogenes GA40056	GA40056	Streptococcus pyogenes	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pyogenes GA40377	GA40377	Streptococcus pyogenes	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pyogenes GA40468	GA40468	Streptococcus pyogenes	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pyogenes GA40634	GA40634	Streptococcus pyogenes	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pyogenes GA40884	GA40884	Streptococcus pyogenes	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pyogenes GA41039	GA41039	Streptococcus pyogenes	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pyogenes GA41046	GA41046	Streptococcus pyogenes	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pyogenes GA41208	GA41208	Streptococcus pyogenes	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pyogenes GA41345	GA41345	Streptococcus pyogenes	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pyogenes GA41394	GA41394	Streptococcus pyogenes	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pyogenes HLJGAS12011	HLJGAS12011	Streptococcus pyogenes	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pyogenes HSC5	HSC5	Streptococcus pyogenes	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pyogenes M1 476	476	Streptococcus pyogenes	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pyogenes M1 GAS	M1 GAS	Streptococcus pyogenes	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pyogenes M49 591	M49 591	Streptococcus pyogenes	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pyogenes MGAS10270	MGAS10270	Streptococcus pyogenes	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pyogenes MGAS10394	MGAS10394	Streptococcus pyogenes	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pyogenes MGAS10750	MGAS10750	Streptococcus pyogenes	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pyogenes MGAS15252	MGAS15252	Streptococcus pyogenes	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pyogenes MGAS1882	MGAS1882	Streptococcus pyogenes	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pyogenes MGAS2096	MGAS2096	Streptococcus pyogenes	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pyogenes MGAS315	MGAS315	Streptococcus pyogenes	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pyogenes MGAS5005	MGAS5005	Streptococcus pyogenes	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pyogenes MGAS6180	MGAS6180	Streptococcus pyogenes	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pyogenes MGAS8232	MGAS8232	Streptococcus pyogenes	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pyogenes MGAS9429	MGAS9429	Streptococcus pyogenes	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pyogenes NS88.2	NS88.2	Streptococcus pyogenes	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pyogenes NZ131	NZ131	Streptococcus pyogenes	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pyogenes SP1-LAU	SP1-LAU	Streptococcus pyogenes	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pyogenes SSI-1	SSI-1	Streptococcus pyogenes	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pyogenes UTMEM-1	UTMEM-1	Streptococcus pyogenes	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pyogenes UTSW-2	UTSW-2	Streptococcus pyogenes	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus pyogenes str. Manfredo	Manfredo	Streptococcus pyogenes	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus ratti FA-1	FA-1	Streptococcus ratti	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus salivarius 57.I	57.I	Streptococcus salivarius	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus salivarius JIM8780	CCHSS3	Streptococcus salivarius	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus salivarius JIM8777	JIM8777	Streptococcus salivarius	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus salivarius K12	Streptococcus salivarius K12	Streptococcus salivarius	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus salivarius M18	M18	Streptococcus salivarius	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus salivarius PS4	PS4	Streptococcus salivarius	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
